note-on-p-0.03,note-on-r-0.03,note-on-f-0.03,note-on-off-p-0.03,note-on-off-r-0.03,note-on-off-f-0.03,note-on-p-0.02,note-on-r-0.02,note-on-f-0.02,note-on-off-p-0.02,note-on-off-r-0.02,note-on-off-f-0.02,note-on-p-0.01,note-on-r-0.01,note-on-f-0.01,note-on-off-p-0.01,note-on-off-r-0.01,note-on-off-f-0.01,file
0.3188090050835149,0.608876560332871,0.4184938036224976,0.10167029774872913,0.1941747572815534,0.1334604385128694,0.3166303558460421,0.6047156726768377,0.41563393708293606,0.10021786492374728,0.1914008321775312,0.1315538608198284,0.27596223674655046,0.5270457697642164,0.3622497616777884,0.08714596949891068,0.1664355062413315,0.1143946615824595,MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV
0.22939677145284623,0.3448275862068966,0.2755102040816327,0.027187765505522515,0.04086845466155811,0.0326530612244898,0.22259983007646558,0.334610472541507,0.2673469387755102,0.026338147833474938,0.03959131545338442,0.03163265306122449,0.18776550552251486,0.2822477650063857,0.22551020408163266,0.021240441801189464,0.031928480204342274,0.025510204081632654,MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV
0.31469194312796206,0.36403508771929827,0.3375699034062023,0.10426540284360189,0.1206140350877193,0.11184544992374174,0.30924170616113744,0.35773026315789475,0.33172343670564314,0.10284360189573459,0.11896929824561403,0.11032028469750887,0.27061611374407585,0.3130482456140351,0.2902897813929842,0.09075829383886255,0.1049890350877193,0.09735638027452974,MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav
0.34080475290305157,0.3254254770500258,0.3329376071758343,0.12530380772346747,0.11964930376482723,0.12241129138636064,0.33108290575209287,0.31614234141309955,0.323440179395858,0.12260329462597894,0.11707065497679216,0.11977311700303389,0.2665406427221172,0.2545126353790614,0.26038781163434904,0.09802862543883338,0.09360495100567302,0.09576573011476058,MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav
0.30025386568197554,0.3204433497536946,0.3100202549743834,0.11493191783983384,0.12266009852216748,0.11867032050518289,0.2900992384029541,0.3096059113300493,0.29953532705826286,0.1107777521347796,0.11822660098522167,0.11438103181222446,0.2464804984998846,0.2630541871921182,0.25449779578219944,0.0955458112162474,0.10197044334975369,0.0986536399380436,MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV
0.29476405946994183,0.37654830718414534,0.3306744017403916,0.09265244559362207,0.11835948252133223,0.10394005317863186,0.2895927601809955,0.3699421965317919,0.32487309644670054,0.09028226675285499,0.11533168180567024,0.10128112158569012,0.24240465416936005,0.3096614368290669,0.2719361856417694,0.07821590174531351,0.09991742361684558,0.08774474256707758,MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1
0.31344038437223415,0.32061562338334193,0.31698740489738503,0.11796687318245037,0.12066735644076565,0.11930183492104086,0.3016816285244658,0.3085876875323332,0.30509558212390514,0.11354153496017196,0.11614071391619245,0.11482641774822581,0.2449108610443798,0.2505173305742369,0.2476823732497922,0.09002402326463523,0.09208484221417486,0.09104277220126591,MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4
0.31752817722502913,0.2832871012482663,0.2994319223016309,0.18888457054022542,0.16851595006934814,0.17811984606926884,0.2895452778857365,0.25832177531206657,0.27304379695803555,0.17061795569374272,0.15221914008321774,0.16089426424775516,0.22386319471434124,0.19972260748959778,0.21110500274876304,0.12708900116595415,0.11338418862690708,0.11984606926882904,MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV
0.46613545816733065,0.4934106483921982,0.4793854033290653,0.2848605577689243,0.30152872957301,0.2929577464788733,0.45268924302788843,0.47917764891934633,0.46555697823303455,0.27589641434262946,0.29204006325777543,0.2837387964148527,0.3690239043824701,0.3906167633104902,0.3795134443021767,0.22360557768924302,0.23668950975224037,0.22996158770806657,MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--1
0.39944521497919555,0.421978021978022,0.41040256501603134,0.20041608876560332,0.21172161172161172,0.20591378696116852,0.3949375866851595,0.41721611721611723,0.405771286070538,0.19764216366158113,0.2087912087912088,0.2030637691485572,0.34153952843273233,0.3608058608058608,0.35090844317776987,0.1688626907073509,0.1783882783882784,0.17349483434271465,MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_05_Track05_wav
0.33444472941779946,0.4700793078586878,0.3908287127229132,0.09181841497819954,0.12905551550108146,0.10729806683650532,0.3211079764042062,0.4513338139870223,0.3752435186572755,0.08874070274429341,0.1247296322999279,0.10370148359058894,0.2610925878430367,0.36697909156452774,0.30511014536190617,0.07335214157476276,0.10310021629416005,0.08571856736100704,MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--3
